title,price,area,address,floors,bedrooms,description
"Chủ Hàn Quốc cần bán Gấp Dự án: The Sun Mễ Trì DT 99m2, tk  3 ngủ 2 vs ,tầng trung đủ đồ.",Giá: 92 tỷ,Diện tích: 99 m²,"Đường Mễ Trì,
                                    Phường Từ Liêm,
                                    Hà Nội",16 tầng,3 phòng ngủ,"Chủ Hàn Quốc cần bán Gấp Dự án: The Sun Mễ Trì
Tầng trung
Diện tích: 99m2, 3ngủ 2vs phòng khách và bếp. có tầng hầm gửi xe,tầng 1 là siêu thị và quán cà phê, tầng 4 bể bơi 4 mùa,
Nội thất: full đồ, 
Pháp lý: sẵn sổ
......  << Xem chi tiết >>"
Bán căn hộ toà nhà CT3-1. đô thị Mễ Trì Hạ đối diện keangnam đường Phạm Hùng.  DT 98m2.,Giá: 70 triệu / m²,Diện tích: 98 m²,"Đường Mễ Trì Hạ,
                                    Phường Từ Liêm,
                                    Hà Nội",3 tầng,2 phòng ngủ,"Bán căn hộ toà nhà CT3-1. đô thị Mễ Trì Hạ đối diện keangnam đường Phạm Hùng. 
Diện tích : 98m2.
Thiết kế 2 ngủ, 2 vs. đầy đủ nội thất.
Căn góc 2 ban công hướng Đông Nam và Tây Nam,
Gần bến xe bus đi lại thuận tiện g......  << Xem chi tiết >>"
"Bán chung cư Trung Yên Plaza - Số 1 Trung Hoà - DT 85m, 2 ngủ, slot ô tô","Giá: 10,2 tỷ",Diện tích: 85 m²,"Đường Trung Hòa,
                                    Phường Yên Hòa,
                                    Hà Nội",8 tầng,2 phòng ngủ,"- Vị trí trung tâm số 1 Trung hoà kết nối vành đai 2.5, Trần duy hưng
-  Căn hộ Diện tích 85m, 2PN, 1 khách, 1 bếp, 2 vệ sinh, thiết kế rộng thoáng, tầng trung ở cực dễ chịu. 
- Có slot gửi ô tô hầm, tiện ích đầy đủ dư......  << Xem chi tiết >>"
"🏡 BÁN CĂN HỘ TẬP THỂ THÀNH CÔNG – GIẢNG VÕ, HÀ NỘI","Giá: 5,5 tỷ",Diện tích: 43 m²,"Phố Nguyên Hồng,
                                    Phường Giảng Võ,
                                    Hà Nội",,,"🏡 BÁN CĂN HỘ TẬP THỂ THÀNH CÔNG – GIẢNG VÕ, HÀ NỘI
✨ Nhà đầu hồi – 2 ban công thoáng mát – vị trí trung tâm cực tiện sinh hoạt
📐 Diện tích sổ đỏ: 43m²
📏 Diện tích sử dụng thực tế: khoảng 70m²
🌤 Nhà đầu hồi, 2 ban......  << Xem chi tiết >>"
Vốn chỉ từ 800tr (30%) sở hữu căn hộ 5 sao Trung Tâm Hoà Lạc. Dòng căn hộ cao cấp,"Giá: 1,8 tỷ",Diện tích: 85 m²,"Đại lộ Thăng Long,
                                    Xã Yên Bài,
                                    Hà Nội",16 tầng,2 phòng ngủ,"Vốn chỉ từ 800tr (30%) sở hữu căn hộ 5* Trung Tâm Hoà Lạc. Dòng căn hộ cao cấp dành cho giới tinh hoa: chuyên gia, kỹ sư, giảng viên,...Nằm sát Đại Học Quốc Gia, Khu CNC Hoà Lạc và Metro5 chạy qua, tiềm năng sinh lời cực......  << Xem chi tiết >>"
Bán căn hộ tầng 1 tại khu tổ hợp 16 Láng Hạ - Đống Đa - HN,Giá: 10 tỷ,Diện tích: 57 m²,"Đường Láng Hạ,
                                    Phường Láng,
                                    Hà Nội",1 tầng,1 phòng ngủ,"Bán căn hộ tầng 1 tại khu tổ hợp 16 Láng Hạ - Đống Đa - HN.

Diện tích khoảng 57m²: 1 khách, 1 ngủ, 1 bếp, 1 wc. Căn hộ có thiết kế đẹp, hiện đại, sang trọng.
Vị trí: Sát hồ Thành Công, vị trí trung tâm, đi lại thuận ......  << Xem chi tiết >>"
BÁN CĂN HỘ - CAO CẤP VÍP - TOÀ AQUA  CENTREL- YÊN PHỤ - BA ĐÌNH - 500M - 99 TỶ,Giá: 99 tỷ,Diện tích: 500 m²,"Đường Yên Phụ,
                                    Phường Ba Đình,
                                    Hà Nội",3 tầng,4 phòng ngủ,"BÁN CĂN HỘ - CAO CẤP VÍP - TOÀ AQUA  CENTREL- YÊN PHỤ - BA ĐÌNH - 500M - 99 TỶ

- CƯC HIẾM -  CĂN HỘ - PENTHOUSES ĐẰNG CẤP  - NỘI THẤT TRIỆU ĐÔ - TOÀ HIẾM NHÀ BÁN,

SỔ ĐỎ CHÍNH CHỦ
LH :

Mô tả:,, Tên dự án: HANOI ......  << Xem chi tiết >>"
🔥 CHUNG CƯ ĐẸP NHƯ KHÁCH SẠN 5 SAO – FULL NỘI THẤT CAO CẤP – 2PN 2WC – Ở NGAY 🔥,"Giá: 4,75 tỷ",Diện tích: 72 m²,"Đường Đức Giang,
                                    Phường Việt Hưng,
                                    Hà Nội",11 tầng,2 phòng ngủ,"🏡 Diện tích 72m² tim tường, 66,12m² thông thủy 🛏️ Thiết kế 2 phòng ngủ – 2 WC 🌟 Nội thất cao cấp đồng bộ: sofa sang trọng, tủ lạnh 2 cánh, máy rửa bát, TV màn hình lớn, điều hòa, giường tủ gỗ cao cấp...
💎 Bước vào l......  << Xem chi tiết >>"
"Bán căn hộ Pentstudio Duplex 2 tầng 699 Lạc Long Quân, DT 76m, hơn 8 tỷ, ngay Lotte mall","Giá: 8,8 tỷ",Diện tích: 76 m²,"Đường Lạc Long Quân,
                                    Phường Tây Hồ,
                                    Hà Nội",10 tầng,2 phòng ngủ,"- Vị trí vàng: 	Cách Lotte Mall Tây Hồ chỉ 500m – đi bộ vài phút là tới.	Chỉ 1km tới Sen Hồ Tây & Hồ
+ Diện tích 45/76m², thiết kế Duplex 2 tầng đẳng cấp, 2 phòng ngủ, 2 vệ sinh
+ Full nội thất cao cấp, được làm lại tỉ......  << Xem chi tiết >>"
"Bán căn 98m chung cư Chelsea Park – Trần kim xuyến, hơn 10 tỷ, full nội thất đẹp","Giá: 10,3 tỷ",Diện tích: 98 m²,"Đường Trần Kim Xuyến,
                                    Phường Yên Hòa,
                                    Hà Nội",10 tầng,2 phòng ngủ,"- Chung cư Chelsea park 39 trần kim xuyến trong KDT Yên Hoà
- Khu dân trí cao, đầy đủ tiện ích: bể bơi, siêu thị, trường học…
- Diện tích 98m², thiết kế 2 phòng ngủ, 2 vệ sinh. Các phòng đều có cửa sổ thoáng sáng, view......  << Xem chi tiết >>"
Căn hộ cao cấp CC viện chiến lược Tú Mỡ - Lô góc 128m - nhỉnh 9 tỷ,"Giá: 9,6 tỷ",Diện tích: 128 m²,"Đường Tú Mỡ,
                                    Phường Yên Hòa,
                                    Hà Nội",,3 phòng ngủ,"- CHCC căn góc  có view đẹp, phí dịch vụ tòa nhà rất rẻ, 2 tầng hầm thoải mái để ô tô. 
- Diện tích trên sổ 128m2 chưa bao gồm 5m2 ban công, nhà cho thuê nên chỉnh lại thành 2 phòng khách mua đổi lại 3 phòng tuỳ ý. 
- ......  << Xem chi tiết >>"
"Bán căn góc 105m Green Park Dương đình nghệ, 3 ngủ 2 vệ sinh, ngay cạnh CV cầu giấy","Giá: 9,5 tỷ",Diện tích: 105 m²,"Phố Dương Đình Nghệ,
                                    Phường Cầu Giấy,
                                    Hà Nội",15 tầng,3 phòng ngủ,"- Căn hộ tại tòa Green Park Tower, 33 Dương Đình Nghệ. Ngay trung tâm cầu giấy, gần công viên, Keangnam, trường các cấp..
- Căn góc cực thoáng, chỉ việc xách vali về ở
• Diện tích: 105m2 (Thiết kế tối ưu 3PN - 2VS).
•......  << Xem chi tiết >>"
"Bán căn góc chung cư 137 nguyễn ngọc vũ, DT 77m, 2 ngủ, hơn 6 Tỷ","Giá: 6,9 tỷ",Diện tích: 77 m²,"Phố Nguyễn Ngọc Vũ,
                                    Phường Yên Hòa,
                                    Hà Nội",8 tầng,2 phòng ngủ,"Căn góc thoáng sáng với 2 mặt thoáng tự nhiên - ở luôn
 • Thiết kế gồm: phòng khách, 2 phòng ngủ, 2 nhà vệ sinh, Bếp, Ban công thoáng mát
 • Tầng trung đẹp, ở thoải mái, di chuyển thuận tiện.
 + Chủ nhà để lại toàn bộ......  << Xem chi tiết >>"
"CHÍNH CHỦ BÁN CĂN HỘ 3 PHÒNG NGỦ TẠI CHUNG CƯ NAM ĐÔ – HOÀNG MAI, HÀ NỘI","Giá: 8,35 tỷ",Diện tích: 94 m²,"Đường Trương Định,
                                    Phường Hoàng Mai,
                                    Hà Nội",15 tầng,3 phòng ngủ,"Do có nhu cầu chuyển về gần bố mẹ, gia đình cần bán căn hộ 1504 CTB (Tòa B) – Chung cư Phức hợp Nam Đô.

✨ Thông tin căn hộ:
•	Diện tích: 94,2 m²
•	Thiết kế: 3 phòng ngủ, 2 phòng vệ sinh
•	Phòng ngủ master rộng rãi,......  << Xem chi tiết >>"
🔥 PENTSTUDIO TÂY HỒ - TẦNG CAO - FULL ĐỒ 5 SAO - BÁN NHANH,"Giá: 7,6 tỷ",Diện tích: 58 m²,"Đường Lạc Long Quân,
                                    Phường Tây Hồ,
                                    Hà Nội",2 tầng,1 phòng ngủ,"Chính chủ bán PentStudio 58m2. 699 Lạc Long Quân. Sổ đỏ lâu dài.
🏢 PENTSTUDIO TÂY HỒ - DUPLEX HẠNG 5 SAO 🏢
📍 Vị trí kim cương:
- tầng cao
- 699 Lạc Long Quân, Phú Thượng, Tây Hồ
- 1 phút chân tới Lotte, 3 phút tớ......  << Xem chi tiết >>"
Cực hiếm - Căn hộ Rice City 45m2 x giá 3.45 Tỷ có TL - bay nhanh,"Giá: 3,45 tỷ",Diện tích: 45 m²,"Đường Anh Đào 10,
                                    Phường Việt Hưng,
                                    Hà Nội",1 tầng,1 phòng ngủ,"- Nhà bán gồm 1 ngủ 1 wc, tầng cao, xem bắn pháo hoa, ngắm thần kim quy.
- Chung cư Rice city nằm trên phố Gia Quất. Sát Ngọc Lâm phố cổ, phố Nguyễn Văn Cừ, Nguyễn Sơn. Vị trí đẹp gần cầu Chương Dương, cầu chui, cầu đôn......  << Xem chi tiết >>"
"Bán căn góc 3 ngủ 2 ban công thoáng sáng, hướng mát chung cư Vũ Trọng Phụng.","Giá: 8,4 tỷ",Diện tích: 109 m²,"Đường Vũ Trọng Phụng,
                                    Phường Thanh Xuân,
                                    Hà Nội",,3 phòng ngủ,"Vị trí trung tâm quận Thanh Xuân, ngay ngã ba Vũ Trọng Phụng, Quan Nhân cực sầm uất, xung quanh là nhiều trường Đại học và tuyến đường sắt trên cao di chuyển thuận tiện.
Căn hộ tầng trung thiết kế 3 ngủ 2 WC thoáng sáng......  << Xem chi tiết >>"
"Bán căn hộ Golden Land 275 Nguyễn Trãi, Toà C tầng trung, lô góc sổ 111.7m2. Giá 10.55 tỷ","Giá: 10,55 tỷ",Diện tích: 112 m²,"Đường Nguyễn Trãi,
                                    Phường Khương Đình,
                                    Hà Nội",8 tầng,3 phòng ngủ,"Mô tả:
🌺 Chính chủ cần bán Căn hộ Golden Land 275 Nguyễn Trãi toà C nằm cạnh Vinhomes Galaxy Cao Xà Lá hưởng trọn tiện ích. Vị trí cực đặc địa trung tâm Thanh Xuân.
🌺 Sổ đỏ 111.7m2 x tầng trung căn hộ góc ba mặt thoá......  << Xem chi tiết >>"
"Bán gấp căn hộ cao cấp tầng trung Toà B The Zei Lê Đức Thọ, view Hồ sổ 89m2 x Giá 10.6 tỷ","Giá: 10,6 tỷ",Diện tích: 89 m²,"Đường Lê Đức Thọ,
                                    Phường Từ Liêm,
                                    Hà Nội",16 tầng,2 phòng ngủ,"Mô tả: 
🌺 Chính chủ bán gấp căn hộ cao cấp Toà B The Zei Lê Đức Thọ vị trí khá đắc địa góc của Hàm Nghi - Nguyễn Cơ Thạch - Nguyễn Hoàng. Hạ tầng vip đồng bộ giao thoa tiện ích như Vinhomes Hàm Nghi, Sân vận động Mỹ Đì......  << Xem chi tiết >>"
"Cần bán căn góc 3 ngủ thoáng sáng chung cư viện chiến lược, vài bước ra BigC Trần Duy Hưng","Giá: 9,5 tỷ",Diện tích: 128 m²,"Đường Tú Mỡ,
                                    Phường Yên Hòa,
                                    Hà Nội",,3 phòng ngủ,"Vị trí trung tâm Quận Cầu Giấy, với rất nhiều trường điểm lớn nhỏ, vài bước chân ra BigC, an sinh đỉnh, tiện ích đủ đầy.
Nhà thiết kế cơ bản 3 ngủ 2 WC chủ mới mua về có thể thêm nội thất tuỳ ý sáng tạo theo ý mình.
Sổ......  << Xem chi tiết >>"
"Khách cần Tiền , thanh lý gấp căn hộ MT quốc lộ 13 , giá chỉ 1 tỷ 580","Giá: 1,5 tỷ / m²",Diện tích: 60 m²,"Đại Lộ 13,
                                    Phường Tăng Nhơn Phú,
                                    Hồ Chí Minh",11 tầng,2 phòng ngủ,"💥 Cần Thanh lý gấp căn hộ giá rẻ chỉ 1 tỷ 5xx 💥
🌇 
📍 mặt tiền quốc lộ 13 
🏡 Dt 50m², 2PN , 2WC , Full nội thất 
🏊 Hồ bơi tràn bờ
💪 Phòng Gym hiện đại
🔥 Khu BBQ ngoài trời
🎾 Sân tennis, bóng rổ
👨‍👩‍👧‍�......  << Xem chi tiết >>"
"Bán nhanh căn hộ cao cấp Midtown, Phú Mỹ Hưng, Quận 7","Giá: 10,3 tỷ",Diện tích: 80 m²,"Đường Nguyễn Lương Bằng,
                                    Phường Tân Hưng,
                                    Hồ Chí Minh",,2 phòng ngủ,"Bán nhanh căn hộ cao cấp Midtown, Phú Mỹ Hưng, Quận 7
- 80m²-2PN2WC
- View sông, đẹp và thoáng mát
- Ô đậu xe , nhà đang có hợp đồng thuê dài hạn ổn định, view sông và nhìn đài full nước
- Sẵn pass, thẻ xem nhà ngay......  << Xem chi tiết >>"
BÁN CĂN SHOHOUSE CHUNG CƯ EHOME3 KHU DÂN CƯ NAM LONG BÌNH TÂN,"Giá: 3,6 tỷ",Diện tích: 45 m²,"Đường Võ Văn Kiệt,
                                    Phường An Lạc,
                                    Hồ Chí Minh",,1 phòng ngủ,"Shophouse mặt tiền chung cư Ehome3 Khu dân cư Nam Long, đường Hồ Ngọc Lãm sát Võ Văn Kiệt, An Lạc - Bình Tân thuận tiện ở và kinh doanh.
DT 6x7,5m, 45,3m2 SHR
Mặt trước đường rộng và công viên trung tâm thoáng mát.
Ch......  << Xem chi tiết >>"
"Chỉ 2.2 Tỷ - Bán Căn Hộ Cao Cấp Vinhomes Grand Park Nguyễn Xiển, Sổ riêng, cho thuê 6tr","Giá: 2,2 tỷ",Diện tích: 31 m²,"Đường Nguyễn Xiển,
                                    Phường Long Bình,
                                    Hồ Chí Minh",24 tầng,1 phòng ngủ,"🔥Vinhomes Grand Park - NGUYỄN XIỂN QUẬN 9- ĐẲNG CẤP SỐNG GIỚI THƯỢNG LƯU - ĐẦY ĐỦ TIỆN ÍCH. VINHOMES - VINMART - VINSCHOOL - VINMEC - VINCOM …
👉 CHỈ 2.2 TỶ SỞ HỮU NGAY CĂN STUDIO VIEW ĐẸP - TẶNG FULL NỘI THẤT MỚI CAO ......  << Xem chi tiết >>"
"🏡 BÁN CĂN GÓC SUNRISE RIVERSIDE – VIEW HỒ BƠI ĐẸP, 3PN, SỔ HỒNG RIÊNG","Giá: 7,2 tỷ",Diện tích: 94 m²,"Đường Nguyễn Hữu Thọ,
                                    Xã Nhà Bè,
                                    Hồ Chí Minh",3 tầng,3 phòng ngủ,"✨ Căn hộ góc sở hữu vị trí đẹp, không gian thoáng đãng, đón gió tự nhiên, phù hợp cho gia đình ở hoặc đầu tư cho thuê.

📌 Thông tin căn hộ:
 • Diện tích: 94m²
 • Thiết kế: 3 phòng ngủ – 2 nhà vệ sinh
 • Căn góc, tố......  << Xem chi tiết >>"
"🏡 BÁN CĂN HỘ SUNRISE RIVERSIDE – 2PN, SỔ HỒNG RIÊNG, VIEW ĐÔNG MÁT MẺ","Giá: 5,4 tỷ",Diện tích: 70 m²,"Đường Nguyễn Hữu Thọ,
                                    Xã Nhà Bè,
                                    Hồ Chí Minh",14 tầng,2 phòng ngủ,"✨ Cơ hội sở hữu căn hộ đẹp tại dự án Sunrise Riverside với thiết kế tối ưu, nội thất đầy đủ, chỉ cần xách vali vào ở.

📌 Thông tin căn hộ:
 • Diện tích: 70m²
 • Thiết kế: 2 phòng ngủ – 2 nhà vệ sinh
 • Block C
 • ......  << Xem chi tiết >>"
"Bán nhanh căn hộ cao cấp Stahill, Phú Mỹ Hưng, Tân Mỹ","Giá: 11,2 tỷ",Diện tích: 112 m²,"Đường Số 10,
                                    Phường Tân Mỹ,
                                    Hồ Chí Minh",,3 phòng ngủ,"Chuyển nhượng gấp căn hộ cao cấp StarHill, Phú Mỹ Hưng, Tân Mỹ.
Diện tích: 112m², góc view Quận 1.
Thiết kế: 2PN - 1LV - 2WC.
Nội thất: Full.
Bán giá: 11,2 tỷ.
Pháp lý: Sổ hồng.
Nhà đang trống, xem dễ nhé, khu trun......  << Xem chi tiết >>"
"Bán gấp căn hộ 2PN 2WC tầng thấp Fresca Riverside Bình Chiểu. Giá 2,895 tỷ hỗ trợ vay","Giá: 2,895 tỷ",Diện tích: 70 m²,"Đường Ngô Chí Quốc,
                                    Phường Tam Bình,
                                    Hồ Chí Minh",,2 phòng ngủ,"Bán gấp căn hộ tầng thấp chung cư Fresca Riverside Bình Chiểu, TP. Thủ Đức, nhà có nội thất, giá tốt nhất

+ DT: 70m2 gần 70m2 2PN 2WC ban công view hồ bơi.
+ Nhà mới đẹp, đang cho thuê có thể cho thuê lại hoặc vào ở ......  << Xem chi tiết >>"
"CH TẦNG TRỆT, LÔ GÓC, SỔ ĐẸP - CX LÝ THƯỜNG KIỆT - 3.1X5.5(DTSD 34.2M2), 2TẦNG - 2.3TỶ","Giá: 2,3 tỷ",Diện tích: 17 m²,"Đường Lý Thường Kiệt,
                                    Phường Diên Hồng,
                                    Hồ Chí Minh",2 tầng,1 phòng ngủ,"CH TẦNG TRỆT, LÔ GÓC, SỔ ĐẸP - CX LÝ THƯỜNG KIỆT - 3.1X5.5(DTSD 34.2M2), 2TẦNG - 2.3TỶ
❇️ Kết cấu BTCT: 1trệt 1lửng, sân trước nhà 5M có thể KD buôn bán đc.
❇️ Khu KD nhộn nhịp, hẻm rộng rãi thông tứ tung và cách vài b......  << Xem chi tiết >>"
